Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
PASÁČEK VEPŘŮ,4001227,1958,animovaný,KF-K 6012,KF-K 6012,2016,Barrandov,HD telecine,"816,04",,
PASŤÁK,0012020,1990,hraný,HF-K 22195,HF-K 22195,2016,Barrandov,HD telecine,"5 493,60",,
PÁTEK NENÍ SVÁTEK,0011550,1979,hraný,HF-K 26846,HF-K 26846,2016,Barrandov,HD telecine,"4 839,16",,
PÁTEK NENÍ SVÁTEK,0011550,1979,hraný,A 29181,A 29181,7.4.2017,Barrandov,HD telecine,,,
PATNÁCT LET ČESKOSLOVENSKÉ REPUBLIKY,3900269,,zpravodajský film,KF-K 023472,x,2014,Česká televize,HD telecine,"462,560000",,
PAVLOVSKÉ KOPCE NA MORAVĚ A VELKÉ DILUVIÁLNÍ NALEZIŠTĚ V DOLNÍCH VĚSTONICÍCH,0080415,1930,dokument,KF-K 44218,x,2016,Barrandov,HD telecine,"553,16",,
PÉČE O FILMOVOU KOPII,0063321,,dokument,KF-K 024598,KF-K 024598,2014,Česká televize,HD telecine,"1454,160000",,
PÉČE O KOJENCE,0062324,,dokument,KF-K 013555,KF-K 013555,2014,Barrandov,HD telecine,"775,000000",,
PEJSEK ČOKL ,3640083,1936,amatérský animovaný,KF-K 042285,KF-K 042285,2012,Barrandov,HD telecine,"246,583333",pro DVD Český animovaný film 1925-1945,
PEKELNÝ SOPOUCH,0062327,1965,dokument,KF-K 6356,KF-K 6356,2016,Barrandov,HD telecine,"412,28",,
PENÍZE JSOU KRVÍ HOSPODÁŘSKÉHO ORGANISMU,0065521,,dokument,KF-K 025990,x,2014,Barrandov,HD telecine,"297,360000",,
PÉRÁK A SS,4000093,1946,animovaný,KF-DP 010407,KF-DP 010407,2014,Barrandov,HD telecine,"809,040000",,
PERIPETIE,0012470,,hraný,HF-K 027110,HF-K 027110,2015,Barrandov,HD telecine,"964,680000",,
PERLIČKY NA DNĚ,0011608,1965,hraný,HF-K 017611,HF-K 017611,2014,Barrandov,HD telecine,"6160,120000",,
PERLY A CHIRURGIE ,0062328,1965,dokument,KF-K 6406,KF-K 6406,2016,Barrandov,HD telecine,"387,04",,
"PERNŠTEJN, VRANOV, BISKUP VÁCLAV JANOTA",3620500,1952,amatérský dokumentární,KF-K 043907,KF-K 043907,2014,Barrandov,HD telecine,"758,680000",,
Pestré cesty po Čechách,0067092,1928,dokument,A26292,A26292,27.3.2017,Barrandov,HD telecine,1189.600000,,
PĚT KRUHŮ NAD TOKIEM,0062333,1964,dokument,KF-K 11153,KF-K 11153,2016,Česká televize,HD telecine,"1 952,04",,
PĚT PLZEŇSKÝCH,0062334,,dokument,KF-K 000489,KF-K 000489,2014,Barrandov,HD telecine,"1083,040000",,
PĚT STOLETÍ KNIHTISKU,0062335,,dokument,KF-K 006757,KF-K 006757,2014,Česká televize,HD telecine,"733,160000",,
PĚT Z MILIONU,0011056,1959,hraný,HF-K 007651,HF-K 007651,2015,Barrandov,HD telecine,"5959,160000",,
PĚTKA S HVĚZDIČKOU,0011901,1985,hraný,A22492,A22492,29.3.2017,Barrandov,HD telecine,,,
PILAŘ RADEK…,3640060,1965,amatérský animovaný,KF-K 031567,x,2014,Barrandov,HD telecine,"1825,680000",,
PÍSEŇ O HARMONICE,4001240,1974,animovaný,KF-K 040334,KF-K 040334,2014,Barrandov,HD telecine,"338,040000","Pozor, NFA není držitelem práv výrobce.",
PÍSEŇ PODZIMU ,4001610,1937,animovaný,KF-DP 016672,KF-DP 016672,2012,Barrandov,HD telecine,"123,125000",pro DVD Český animovaný film 1925-1945,
PÍŠŤALKA,4001241,1971,animovaný,KF-K 006155,KF-K 006155,2015,Barrandov,HD telecine,"806,760000",,
PLAKALKA,4001242,1958,animovaný,KF-K 6037,KF-K 6037,2016,Barrandov,HD telecine,"996,04",,
PLASTIC PEOPLE OF THE UNIVERSE,0067091,,dokument,KF-K 034708,KF-K 034708,2015,Barrandov,HD telecine,"621,040000",,
PLAVČÍKEM NA SLANÉ VODĚ ,4001243,1929,animovaný,KF-K 001432,x,2012,Barrandov,HD telecine,"526,208333",pro DVD Český animovaný film 1925-1945,
PO STOPÁCH KRVE,0011619,1969,hraný,HF-K 9129,HF-K 9129,2016,Barrandov,HD telecine,"5 608,16",,
PO STOPÁCH STARÝCH SLOVANŮ,0062376,,dokument,KF-K 002212,KF-K 002212,2015,Barrandov,HD telecine,"1317,680000",,
POČÁTEK ČSL. ODBOJE NA RUSI,0064997,,dokument,KF-K 023333,x,2012,UPP,HD telecine,"691,00","pro projekt EFG 1914, úprava rychlosti z 18 fps na 24/25 fps",SOUBOR MA SPATNE ID
POD HANÁCKÝM NEBEM,0062383,,dokument,KF-K 487,KF-K 487,2015,Barrandov,HD telecine,"754,240000",,
POD JEZEVČÍ SKÁLOU,0011322,1978,hraný,HF-K 017597,HF-K 017597,2015,Barrandov,HD telecine,"4464,520000",,
POD PRAPORY BOŽÍCH BOJOVNÍKŮ,3620496,1952,amatérský dokumentární,KF-K 043911,KF-K 043911,2014,Barrandov,HD telecine,"1014,000000",,
POD SOPKOU MERAPI,0080020,,dokument,KF-K 044703,KF-K 044703,2015,Barrandov,HD telecine,"535,040000",,
PODKOVA PRO ŠTĚSTÍ,4001245,1946,animovaný,KF-K 001128,KF-K 001128,2014,Barrandov,HD telecine,"263,036400",,
PODNIKÁ-LI NĚKDO CESTU ... ,4001246,1930,animovaný,KF-K 013492,x,2012,Barrandov,HD telecine,"271,916667",pro DVD Český animovaný film 1925-1945,
PODZIMNÍ HONY NA HLUBOKÉ N/VLT.,3620330,1925,amatérský dokumentární,KF-K 26705,x,2016,Barrandov,HD telecine,"652,72",,
PODZIMNÍ ROZMARY,0012231,1936,hraný,HF-K 19271,KF-K 19271,2016,Barrandov,HD telecine,"179,48",,
POHÁDKA MÁJE,0010173,1926,hraný,HF-K 028811,x,2015,Barrandov,HD telecine,"6885,640000",,
POHÁDKA NA ŠŇŮŘE,4000788,1986,animovaný,KF-K 027838,KF-K 027838,2015,Barrandov,HD telecine,"467,040000",,
POHÁDKA O DRAKOVI,4001247,1953,animovaný,K 09 146,K 09 146,17.1.2017,FLB,HD telecine,1664.040000,,
POHÁDKA O MELANCHOLICKÉM KRÁLI ,4002412,1934,animovaný,KF-K 041689,KF-K 041689,2012,Barrandov,HD telecine,"250,916667",pro DVD Český animovaný film 1925-1945,
POHÁDKA O POPELCE ,4003350,1944,animovaný,KF-K 032086,KF-K 032086,2012,Barrandov,HD telecine,"334,497917",pro DVD Český animovaný film 1925-1945,
POHÁDKY TISÍCE A JEDNÉ NOCI,4001597,1974,animovaný,KF-K 009194,KF-K 009194,2015,Česká televize,HD telecine,"5314,960000","Pozor, NFA není držitelem práv výrobce.",
POHLAĎ KOČCE UŠI,0011866,1985,hraný,HF-K 31929,HF-K 31929,2016,Barrandov,HD telecine,"4 949,04",,
POHLED DO OČÍ,0011625,1961,hraný,HF-K 023158,HF-K 023158,2015,Barrandov,HD telecine,"4356,080000",,
POHLEDNICE PRO KATA,0062404,,dokument,KF-K 008454,KF-K 008454,2014,Barrandov,HD telecine,"736,040000",,
POHLEDNICE Z JAPONSKA ,0062405,1965,dokument,KF-K 6397,KF-K 6397,2016,Barrandov,HD telecine,"547,64",,
POHŘEB JAROSLAVA VRCHLICKÉHO,0066871,,dokument,KF-K 025526,x,2015,Barrandov,HD telecine,"435,880000",přepis byl proveden standardně frame by frame; úprava rychlosti (zřejmě z 12 fps na 24 fps - tedy duplikací každého framu) byla přítomna už na filmovém zdroji,
POHŘEB MISTRA JAKUBA ARBESA,0062409,,dokument,KF-K 006171,x,2015,Barrandov,HD telecine,"201,440000",,
POHŘEB PANA PRESIDENTA OSVOBODITELE T. G. MASARYKA,0080359,,dokument,KF-K 44716,x,2014,UPP,HD sken,"686,000000",,
POHYBY ROSTLIN,0064264,,dokument,KF-K 020971,x,2014,Barrandov,HD telecine,"2008,800000",,
POJĎ S NÁMI NA PALUBU,0062414,,dokument,KF-K 006701,KF-K 006701,2015,Barrandov,HD telecine,"661,040000",,
POKUSY S MODELEM ZDĚNÉ ÚDOLNÍ PŘEHRADY V LABORATOŘI VODNÍCH STAVEB PROF. INŽ. A. SMRČKA PŘI ČESKÉ VYSOKÉ ŠKOLE TECHNICKÉ V BRNĚ,0066807,,dokument,KF-K 031915,x,2014,Barrandov,HD telecine,"481,720000",,
POLIČKA,0080857,1931,dokument,KF-K 45724,x,2016,Barrandov,HD telecine,"702,36",,
POLOČAS NA ROVNÍKU,0080067,,dokument,KF-K 44705,KF-K 44705,2015,Barrandov,HD telecine,"521,040000",,
POLOŽENÍ ZÁKLADNÍHO KAMENE NOVOSTAVEB ČESKÉHO VYSOKÉHO UČENÍ TECHNICKÉHO V PRAZE - DEJVICÍCH,0069074,,dokument,KF-K 043448,x,2015,Barrandov,HD telecine,"298,280000",,
POLYKARPOVO ZIMNÍ DOBRODRUŽSTVÍ,0010084,1917,hraný,HF-K 013458,x,2015,Barrandov,HD telecine,"618,840000",,
POMNÍK LÁSKY A PŘÁTELSTVÍ,0062429,,dokument,KF-K 022510,KF-K 022510,2015,Barrandov,HD telecine,"805,040000",,
POMSTA,4000611,1968,animovaný,KF-K 001869,KF-K 001869,2014,Barrandov,HD telecine,"810,600000","Pozor, NFA není držitelem práv výrobce.",
POMŮŽEME PŘI NEHODĚ,0068624,,dokument,KF-K 042655,KF-K 042655,2015,Barrandov,HD telecine,"829,040000",,
PONREPOVO KOUZELNICTVÍ,0010082,1911,hraný,HF-K 018902,x,2015,Barrandov,HD telecine,"150,920000",,
POPELKA,0010258,1929,hraný,KF-K 27560,x,2016,Barrandov,HD telecine,"2 697,04",,
POPLACH NA HRADĚ,4000626,1984,animovaný,KF-K 022404,KF-K 022404,2015,Barrandov,HD telecine,"437,120000",,
POSELSTVÍ MÍRU,0062440,,dokument,KF-K 034498,KF-K 034498,2015,Barrandov,HD telecine,"2134,080000",,
POSKLIZŇOVÁ ÚPRAVA CHMELU,0080775,,dokument,KF-K 044352,KF-K 044352,2016,Barrandov,HD telecine,"746,24",,
POSLEDNÍ CESTA MISTRA ALOISE JIRÁSKA,0064360,,dokument,KF-K 024907,x,2015,Barrandov,HD telecine,"462,120000",,
POSLEDNÍ CESTA PRESIDENTA OSVOBODITELE T. G. MASARYKA,0067554,,dokument,KF-K 024295,KF-K 024295,2015,Barrandov,HD telecine,"1157,040000",,
POSLEDNÍ LÉTO TGM,0060060,,dokument,KF-K 033741,KF-K 033741,2015,Barrandov,HD telecine,"589,800000",,
POSLEDNÍ MOHYKÁN,0010475,1947,hraný,HF-K 023161 (úvodní titulky z HF-K 002075),HF-K 023161 (úvodní titulky z HF-K 002075),2015,Barrandov,HD telecine,"5345,080000",,
POSLEDNÍ PROPADNE PEKLU,0011015,1982,hraný,HF-K 031741,HF-K 031741,2015,Barrandov,HD telecine,"4597,080000",,
POSLUŠNĚ HLÁSÍM,0010597,1957,hraný,HF-K 024639,HF-K 024639,2014,Barrandov,HD telecine,"5533,680000",,
POSLUŠNĚ HLÁSÍM,0010597,1957,hraný,,,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"5533,680000",Digitálně restaurováno EEA,
POSTAVA K PODPÍRÁNÍ,0011636,1963,hraný,,,2015,Magyar Filmlabor,4K sken / 4K postprodukce,"2275,360000",Digitálně restaurováno EEA,
POSTEL O 5 HP ANEB PROBUZENÍ NA ULICI,0011639,1948,hraný,HF-K 18672,HF-K 18672,2016,Barrandov,HD telecine,"476,04",,
POSTŘIŽINY,0011637,1980,hraný,HF-K 017745,HF-K 017745,2014,Barrandov,HD telecine,"5622,040000",,
POSTŘIŽINY REKLAMNÍ SNÍMEK,0066679,,dokument,KF-K 025744,KF-K 025744,2016,Barrandov,HD telecine,"128,72",,
POUČENÍ KOCOURA FELIXE ,4001996,1927,animovaný,KF-K 019648,x,2012,Barrandov,HD telecine,"56,875000",pro DVD Český animovaný film 1925-1945,
POVĚTRNOSTNÍ DOMEČEK ,4001270,1945,animovaný,KF-K 021854,KF-K 021854,2012,Barrandov,HD telecine,"537,886250",pro DVD Český animovaný film 1925-1945,
POVODEŇ V PRAZE,0066874,,dokument,KF-K 024774,x,2015,Barrandov,HD telecine,"109,600000",,
POZOR,4001272,1959,animovaný,KF-K 019953,KF-K 019953,2014,Barrandov,HD telecine,"707,040000",,
"POZOR, VIZITA!",0011399,1981,hraný,HF-K 029108,HF-K 029108,2015,Barrandov,HD telecine,"5043,040000",,
POZOR! DÍTĚ?,0012420,1963,hraný,HF-K 26883,HF-K 26883,2016,Barrandov,HD telecine,"810,24",,
POŽÁR OBCHODNÍHO DOMU DAREX,3620666,?,amatérský dokumentární,KF-K 045594,x,2015,Barrandov,HD telecine,"114,280000",,
PRACÍ PŘEHLÍDKA ,4000057,1937,animovaný,KF-K 013593,KF-K 013593,2012,Barrandov,HD telecine,"245,541667",pro DVD Český animovaný film 1925-1945,
PRAHA CALCUTTA,0067528,,dokument,KF-K 034640,KF-K 034640,2014,Barrandov,HD telecine,"1169,680000",,
PRAHA DÍL II.,0066203,,dokument,KF-K 042268,x,2015,Barrandov,HD telecine,"586,720000",,
PRAHA V ZÁŘI SVĚTEL,0060939,,dokument,KF-K 040656,x,2014,Barrandov,HD telecine,"1324,040000",,
Prachovské skály,0062495,1924,dokument,A5589,A5589,28.3.2017,Barrandov,HD telecine,663.880000,,
PRAK DAREBÁK,4001958,1982,animovaný,A19681,A19681,3.1.2017,FLB,HD telecine,,,
PRAVĚK V ROKLI MRTVÝCH,0080158,,dokument,KF-K 044642,KF-K 044642,2015,Barrandov,HD telecine,"630,040000",,
"PRAŽÁKŮM, TĚM JE HEJ",0011902,1990,hraný,HF-K 022971,HF-K 022971,2014,UPP,HD sken,"5532,040000",,
PRAŽSKÉ BLUES,0011652,1963,hraný,HF-K 007861,HF-K 007861,2015,Barrandov,HD telecine,"4489,080000",,
PRAŽSKÝ KINEMATOGRAFICKÝ ŽURNÁL KVĚTEN 1914,0066895,,dokument,KF-K 024855,x,2015,Barrandov,HD telecine,"390,880000",,
"PRESIDENT REPUBLIKY, T.G MASARYK, NÁVŠTĚVOU VE VRŠOVICÍCH, DNE 9. BŘEZNA 1930",0064638,,dokument,KF-K 025766,x,2014,Barrandov,HD telecine,"471,480000",,
PRINC A VEČERNICE,0011432,1978,hraný,HF-K 022292,HF-K 022292,2014,Barrandov,HD telecine,"4756,080000",,
PRINC BAJAJA,0011130,1971,hraný,HF-K 023937,HF-K 023937,2015,Barrandov,HD telecine,"4726,080000",,
PRINCEZNA SE ZLATOU HVĚZDOU,0011059,1959,hraný,HF-K 030970,HF-K 030970,2015,Barrandov,HD telecine,"4638,440000",,
PRO NÁS PRO VŠECHNY,3620759,?,amatérský dokumentární,KF-K 45809,KF-K 45809,2016,UPP,HD telecine,"760,56",,
PRO NEMOC ZAVŘENO,4001282,1975,animovaný,KF-K 010648,KF-K 010648,2014,Barrandov,HD telecine,"137,040000","Pozor, NFA není držitelem práv výrobce.",
PRO PENÍZE,0010091,1912,hraný,HF-K 013982,x,2015,Barrandov,HD telecine,"835,160000",,
PROBLÉM,4001283,1963,animovaný,KF-K 960,KF-K 960,2016,Barrandov,HD telecine,"730,72",,
PROCITNUTÍ JARA,0060870,,dokument,KF-K 014291,x,2015,Barrandov,HD telecine,"400,200000",,
PROCITNUTÍ ŽENY,0062526,,dokument,KF-K 007123,KF-K 007123,2015,Barrandov,HD telecine,"3055,080000",,
PROČ MUSÍŠ ZEMŘÍT ?!,3600134,1959,amatérský hraný,KF-N 9006,KF-N 9006,2016,UPP,HD telecine,"735,68",,
"PROČ SE USMÍVAŠ, MONO LISO",4001289,1966,animovaný,KF-K 021092,KF-K 021092,2014,Barrandov,HD telecine,"756,400000","Pozor, NFA není držitelem práv výrobce.",
PROČ?,3620766,?,amatérský dokumentární,,,2016,UPP,HD telecine,"1 420,28",,
PROKOUK HODINÁŘEM,4002512,1972,animovaný,KF-K 021740,KF-K 021740,2014,Barrandov,HD telecine,"554,440000",,
PROMĚNA STRÝČKA BOBYHO ,4003420,1930,animovaný,KF-K 036734,x,2012,Barrandov,HD telecine,"302,458333",pro DVD Český animovaný film 1925-1945,
PROMĚNY,4001295,1964,animovaný,KF-K 9309,KF-K 9309,2016,Barrandov,HD telecine,"282,04",,
PROMĚNY PARKŮ,3620671,?,amatérský dokumentární,KF-K 44371,,2016,Barrandov,HD telecine,"1 290,28",chybí přepis zvuku,
PROSTACEK,0010095,1945,animovaný,KF-K 018576,KF-K 018576,16.1.2017,FLB,HD telecine,979.040000,,
PROTEST ,4000613,1938,animovaný,KF-K 018305,KF-K 018305,2012,Barrandov,HD telecine,"90,66",pro DVD Český animovaný film 1925-1945,SOUBOR MA SPATNE ID
PROVDÁM SVOU ŽENU,0010734,1941,hraný,HF-K 17279,HF-K 17279,2016,Barrandov,HD telecine,"4 876,00",,
PRSTÝNEK,0010858,1944,hraný,HF-K 23834,HF-K 23834,2016,Barrandov,HD telecine,"5 479,40",,
PRVNÍ MÁJ VE ZLÍNĚ,0062557,,dokument,KF-K 009080,KF-K 009080,2014,Barrandov,HD telecine,"899,800000",,
PRVNÍ POMOC II. ZLOMENINA,0080025,,dokument,KF-K 043272,KF-K 043272,2015,Barrandov,HD telecine,"539,600000",úvodní titulky začínají zprostřed - je to tak už v kopii,
"PRVNÍ POMOC III. OTŘES MOZKU, ZRANĚNÍ PÁTEŘE",0080026,,dokument,KF-K 043273,KF-K 043273,2015,Barrandov,HD telecine,"540,040000",úvodní titulky začínají zprostřed - je to tak už v kopii,
PRVNÍ POMOC IV. OPAŘENINA,0080027,,dokument,KF-K 043274,KF-K 043274,2015,Barrandov,HD telecine,"388,241600",,
PRVNÍ PRESIDENT ČESKOSLOVENSKÉ REPUBLIKY T. G. MASARYK NÁVŠTĚVOU V PARDUBICÍCH 23. a 24. ZÁŘÍ 1922,0080400,,dokument,KF-K 044188,x,2014,Barrandov,HD telecine,"409,200000",,
PŘÁNÍ K NOVÉMU ROKU ,4003183,1940,animovaný,KF-K 026718,KF-K 026718,2012,Barrandov,HD telecine,"59,760417",pro DVD Český animovaný film 1925-1945,
PŘÁTELSTVÍ SPORTOVCŮ,0062563,1952,dokument,KF-K 05000,KF-K 05000,27.3.2017,FLB,HD telecine,"744,00",,
PŘED STARTEM DO VESMÍRU,0060080,1960,dokument,KF-K 2262,KF-K 2262,2016,Barrandov,HD telecine,"2 323,96",,
PŘEDNOSTA STANICE,0010708,1941,hraný,HF-K 011296,HF-K 011296,2016,Barrandov,HD telecine,"5 276,96",,
PŘEKVAPENÍ V BUDAPEŠTI,0062574,,dokument,KF-K 000885,KF-K 000885,2016,Barrandov,HD telecine,"778,04",,
PŘÍBĚH VOJÁKA,3600095,1935,amatérský hraný,KF-K 031025,x,2014,Barrandov,HD telecine,"470,040000",,
PŘÍBĚHY,3600129,1965,amatérský hraný,KF-K 32185,KF-K 32185,2016,Barrandov,HD telecine,"286,04",,
PŘÍHODY BROUKA PYTLÍKA,4001302,1978,animovaný,KF-K 019882,KF-K 019882,2015,Barrandov,HD telecine,"842,040000",,
PŘÍHODY FERDY MRAVENCE,4000397,1977,animovaný,KF-K 014428,KF-K 014428,2015,Barrandov,HD telecine,"993,040000",,
PŘÍCHOZÍ Z TEMNOT,0010178,1921,hraný,HF-K 030354,x,2014,Česká televize,HD telecine,"3700,200000",,
"PŘIJĎ, AŤ ZASE OMLÁDNU",0062584,1985,dokument,HF-K 19675,HF-K 19675,2016,Barrandov,HD telecine,"4 264,96",,
PŘILBA /PRACOVNÍ ZÁBĚRY / [NEG] ,3620764,1962,amatérský dokumentární,KF-N 22249,x,2016,Barrandov,HD telecine,"1 180,56",,
PŘÍPAD DANIELA,0011669,1964,hraný,HF-K 24465,HF-K 24465,2016,Barrandov,HD telecine,"3 112,04",,
PŘÍPAD PRO ZAČÍNAJÍCÍHO KATA,0011671,1969,hraný,HF-N 001151,HF-DP 010150,2015,Magyar Filmlabor,4K sken,"6145,160000","digitálně restaurováno v Magyar Filmlabor, referenční kopie HF-K 013603",
PŘIPRAVENI,0062590,,dokument,KF-K 013249,KF-K 013249,2014,Barrandov,HD telecine,"608,000000",,
PŘÍSTAV V SRDCI EVROPY,0062592,,dokument,KF-K 013215,KF-K 013215,2014,Barrandov,HD telecine,"815,160000",,
"PŘÍŠTĚ BUDEME CHYTŘEJŠÍ, STAROUŠKU!",0010933,1982,hraný,HF-K 32230,HF-K 32230,2016,Barrandov,HD telecine,"5 083,84",,
PŘÍZRAK,3600070,1948,amatérský hraný,KF-K 045748,KF-K 045748,2014,Barrandov,HD telecine,"345,760000",,
PSÍ NEBE,4001303,1967,animovaný,KF-K 019680,KF-K 019680,2016,Barrandov,HD telecine,"654,92",,
PŮL DOMU BEZ ŽENICHA,0011642,1980,hraný ,HF-K 017237,HF-K 017237,10.3.2017,Barrandov,HD telecine,"4 753,00",,
PŮLNOČNÍ SLUNCE,0062606,1965,dokument,KF-K 6313,KF-K 6313,2016,Barrandov,HD telecine,"625,04",,
PUMPAŘI OD ZLATÉ PODKOVY,0011442,1978,hraný,HF-K 012987,HF-K 012987,2016,Barrandov,HD telecine,"5 092,64",,
PYŠNÁ PRINCEZNA,0010596,1952,hraný,HF-DP 011554,HF-DP 011554,2011,UPP,HD telecine,"5240,040000",,
PYTEL BLECH,0011678,1962,hraný,"HF-DP 018264 (díl 1,2,4,5), HF-N 001113 (díl 3)",distribuční kopie Filmexportu zaslaná na benátský filmový festival 2012 (zůstala v majetku festivalu),2012,"UPP (obraz),  L'Immagine Ritrovata Bologna (zvuk)",2K sken,"2589,240000","Digitálně restaurováno v L'Immagine Ritrovata Bologna, referenční kopie: distribuční kopie Filmexportu zaslaná na benátský filmový festival 2012 (zůstala v majetku festivalu)",OK
PYTLÁKOVA SCHOVANKA ANEB ŠLECHETNÝ MILIONÁŘ,0010227,1949,hraný,HF-K 26927,HF-K 26927,2016,Barrandov,HD telecine,"6 941,92",,
RADOSTNÁ PRÁCE,0062619,,dokument,KF-K 027478,KF-K 027478,2014,Barrandov,HD telecine,"686,040000",,
RAMÓNA MÁ NÁVŠTĚVU,0012579,1990,hraný,HF-K 27448,HF-K 27448,2016,Barrandov,HD telecine,"562,92",,
REKLAMNÍ PLAKÁTY,0061635,1951,dokument,KF-K 31442,KF-K 31442,2016,Barrandov,HD telecine,"331,04",,
RICHARDA FREMUNDA MALOVANÉ CURRICULUM,0065434,,dokument,KF-K 026435,KF-K 026435,2014,Barrandov,HD telecine,"528,040000",,
RODINNÉ FILMY - BENEŠ BOHUŠ,3620752,?,amatérský dokumentární,KF-K 46205,x,2016,UPP,HD telecine,"167,80",,
RODINNÉ FILMY - BENEŠ BOHUŠ I.,3620753,?,amatérský dokumentární,KF-K 46403,x,2016,Barrandov,HD telecine,"944,12",,
RODINNÉ FILMY - FRIEDLÄNDEROVÁ BĚLA,3620702,?,amatérský dokumentární,KF-K 45950,x,2016,Barrandov,HD telecine,"936,40",,
RODINNÉ FILMY - HAVRÁNEK BOHUMIL,3620699,?,amatérský dokumentární,KF-K 45927,x,2016,Barrandov,HD telecine,"1 454,36",,
RODINNÉ FILMY - KAVÁNKOVÁ FRANTIŠKA,3620754,1931,amatérský dokumentární,KF-K 46420,KF-K 46420,2016,Barrandov,HD telecine,"96,72",,
RODINNÉ FILMY - KAZDA MILAN,3620700,?,amatérský dokumentární,KF-K 45804,x,2016,Barrandov,HD telecine,"2 087,92",,
RODINNÉ FILMY - KAZDA MILAN I.,3620701,?,amatérský dokumentární,KF-K 45804,x,2016,UPP,HD sken,"610,72",,
RODINNÉ FILMY - KLOS ELMAR,3620715,1935,amatérský dokumentární,KF-K 46202,x,2016,Barrandov,HD telecine,"708,28",,
RODINNÉ FILMY - KOČÍ JAROSLAV,3620695,?,amatérský dokumentární,KF-K 045935,x,2016,UPP,HD sken,"6 502,92",,
RODINNÉ FILMY - PAVLÍČKOVÁ HANA,3620778,?,amatérský dokumentární,,x,2016,UPP,HD sken,"2 378,12",,
RODINNÉ FILMY – BEER VINCENC,3620662,?,amatérský dokumentární,KF-K 045532,x,2015,UPP,HD sken,"2190,640000",,
RODINNÉ FILMY – CROSS FRANCES,3620665,?,amatérský dokumentární,KF-K 045748,x,2015,UPP,HD sken,"4805,040000",,
RODINNÉ FILMY – ČERNÁ BLANKA,3620556,?,amatérský dokumentární,KF-K 045747,x,2015,UPP,HD sken,"5404,920000",,
RODINNÉ FILMY – HEINIGE KAREL,3620535,?,amatérský dokumentární,KF-K 044609,x,2014,UPP,HD sken,"10209,720000",,
RODINNÉ FILMY – KALLISTOVÁ M.,3620638,?,amatérský dokumentární,KF-K 045498,x,2015,UPP,HD sken,"11323,600000",,
RODINNÉ FILMY – KOHOUT JAN,3620551,?,amatérský dokumentární,KF-K 044785,x,2015,UPP,HD sken,"14513,840000",,
RODINNÉ FILMY – LUKÁŠ LADISLAV,3620661,?,amatérský dokumentární,KF-K 045531,x,2015,UPP,HD sken,"8263,760000",,
RODINNÉ FILMY – PRAHA 1945,3620397,?,amatérský dokumentární,KF-K 042756,x,2015,Barrandov,HD telecine,"742,560000",,
RODINNÉ FILMY – ŠEBÁNEK IVAN,3620544,?,amatérský dokumentární,KF-K 044696,x,2014,UPP,HD sken,"2322,920000",,
RODINNÉ FILMY – ŠEVČÍK VÁCLAV ML. II,3620680,1962,amatérský dokumentární,KF-K 045574,x,2015,Barrandov,HD telecine,"985,720000",,
RODINNÉ FILMY – ŠOLC MICHAL,3620557,?,amatérský dokumentární,KF-K 045442,x,2015,UPP,HD sken,"581,840000",,
RODINNÉ FILMY – ŠTĚPÁNEK FRANTIŠEK,3620558,?,amatérský dokumentární,KF-K 045441,x,2015,UPP,HD sken,"512,760000",,
RODINNÉ FILMY – ŠVÁB LUDVÍK II,3620276,?,amatérský dokumentární,KF-K 031528,x,2015,UPP,HD sken,"2266,440000",,
RODINNÉ FILMY – ŠVÁB LUDVÍK III,3620522,?,amatérský dokumentární,KF-K 044258,x,2014,Barrandov,HD telecine,"4544,360000",,
RODINNÉ FILMY – VOJÁČEK VÁCLAV,3620536,?,amatérský dokumentární,KF-K 044608,x,2014,UPP,HD sken,"2182,720000",,
RODINNÉ TRAMPOTY OFICIÁLA TŘÍŠKY,0010604,1949,hraný,HF-DP 011139,HF-DP 011139,2013,UPP,HD telecine,"5592,840000",,
ROMÁN S BASOU,4001320,1949,animovaný,KF-K 019936,KF-K 019936,2014,Barrandov,HD telecine,"786,960000",,
ROŠICKÉHO MEMORIÁL TISÍC DEVĚT SET PADESÁT ČTYŘI ,0062662,,dokument,KF-K 009451,KF-K 009451,2015,Barrandov,HD telecine,"1202,040000",,
ROZHOVOR VE VLAKU,0010130,1947,hraný,HF-K 019288,HF-K 019288,2014,Česká televize,HD telecine,"749,800000",,
ROZLOUČENÍ S JANEM MASARYKEM,3920556,,zpravodajský film,KF-K 023408,KF-K 023408,2015,Barrandov,HD telecine,"1080,542400",,
ROZMARNÉ LÉTO,0011687,1967,hraný,HF-K 022392,HF-K 022392,2014,Barrandov,HD telecine,"4398,200000",,
ROZPUSTILÍ BRÁŠKOVÉ,4001324,1981,animovaný,KF-K 33626,KF-K 33626,2016,Barrandov,HD telecine,"560,07",,
ROZTOMILÝ ČLOVĚK,0010837,1941,hraný,HF-DP 8980,HF-DP 8980,2016,Barrandov,HD telecine,"5 171,44",,
ROZUM A CIT,4001325,1962,animovaný,KF-K 001671,KF-K 001671,2014,Barrandov,HD telecine,"900,040000",,
