Název titulu v AIS,číslo titulu v AIS,rok,žánr,číslo zdroje digitalizace obrazu v AIS,číslo zdroje digitalizace zvuku v AIS,datum digitalizace,místo digitalizace,technologie digitalizace,délka v sekundách,poznámky,kontrola kvality
CESKOSLOVENSKY_FILMOVY_TYDENIK_7_1965,3926540,1965,zpravodajský film,KF K-41236,KF K-41236,9.12.2016,FLB,HD telecine,,,
CESKOSLOVENSKY_FILMOVY_TYDENIK_8_1965,3926541,1965,zpravodajský film,KF K-41237,KF K-41237,9.12.2016,FLB,HD telecine,,,
CESTA K BARIKÁDÁM,0060889,1946,dokument,KF-DP 006624,KF-DP 006624,2014,Barrandov,HD telecine,"5969,160000",,
Cesta kolem republiky,0060892,1923,dokument,A8355,A8355,28.3.2017,Barrandov,HD telecine,4099.040000,,
CESTA NA ZÁPAD,0060896,1961,dokument,KF-K 002913,KF-K 002913,2014,Barrandov,HD telecine,"963,040000",,
CESTOU ZA METUZALÉMY,0060907,1962,dokument,KF-K 8867,KF-K 8867,2016,Barrandov,HD telecine,"559,80",,
CESTY K SOUSEDŮM,0060908,1966,dokument,KF-K  008554,KF-K  008554,27.3.2017,FLB,HD telecine,"2 312,00",,
CIKÁNI,0010225,1921,hraný,HF-K 027682,x,2014,Barrandov,HD telecine,"5101,320000",,
CIRKUS,4000553,1971,animovaný,KF-K 20003,KF-K 20003,2016,Barrandov,HD telecine,"702,00",,
CIRKUS HURVÍNEK,4000555,1955,anim,A19075,A19075,5.4.2017,Barrandov,HD telecine,,,
"CÍSAŘŮV PEKAŘ, PEKAŘŮV CÍSAŘ",0010534,1951,hraný,HF-K 029645,HF-K 029645,2016,Barrandov,HD telecine,"8 595,04",,
CIVILNÍ OBRANA BUDUJE A CHRÁNÍ,0060914,1955,dokument,KF-K 008634,KF-K 008634,2014,Česká televize,HD telecine,"702,480000",,
CIZOPASNÍCI,0060913,1948,dokument,KF-K 001171,KF-K 001171,2015,Barrandov,HD telecine,"530,480000",,
CO JE BUŇKA,0066202,1955,dokument,KF-K 030466,KF-K 030466,2014,Barrandov,HD telecine,"716,040000",,
"CO JE DOMA, TO SE POČÍTÁ, PÁNOVE",0011221,1980,hraný,HF-K 014011,HF-K 014011,2015,Barrandov,HD telecine,"5028,080000",,
CO JIM SCHÁZÍ ?,4000560,1947,animovaný,P31507,P31507,3.1.2017,FLB,HD telecine,,,
